id,date,region,country,category,product,salesperson,quantity,unit_price,discount,total
32,2025-01-08,Asia,,,,Priya Sharma,14,468.31,0.25,4917.22
33,2025-04-29,Oceania,Australia,Software,Office Suite,Carlos García,7,128.53,0.25,674.76
34,2024-12-29,Europe,Germany,Office Supplies,Binder,Yuki Tanaka,10,6.53,0.05,62.02
35,2024-06-25,Oceania,New Zealand,Electronics,Keyboard,John Smith,13,56.28,,731.67
36,2025-08-02,Asia,South Korea,Office Supplies,Stapler,Szabó Éva,14,11.78,0.20,131.94
37,2025-01-06,,Singapore,Furniture,Office Chair,Emily Johnson,19,248.06,0.05,4477.47
38,2025-11-23,Oceania,Australia,Software,Office Suite,Emily Johnson,9,168.09,0.25,1134.62
39,2025-12-11,South America,Brazil,Office Supplies,Printer Paper,Szabó Éva,14,7.18,0.10,90.41
40,2025-04-30,Oceania,New Zealand,Furniture,Office Chair,Emily Johnson,14,280.04,0.00,3920.62
41,2025-05-13,North America,United States,Electronics,Laptop,Yuki Tanaka,20,1117.60,0.10,20116.84
42,2025-02-13,Oceania,New Zealand,,Gift Card,,14,91.17,0.10,1148.75
43,2024-08-08,Oceania,Australia,Furniture,Office Chair,Yuki Tanaka,19,,0.25,
44,2025-04-15,Asia,Japan,Furniture,Bookshelf,Priya Sharma,11,,0.05,
45,2024-08-14,North America,Mexico,Office Supplies,Printer Paper,Carlos García,9,7.05,0.10,57.11
46,2025-05-24,Africa,South Africa,,Gift Card,Carlos García,9,92.50,,832.50
47,2025-01-09,Oceania,New Zealand,Electronics,Mouse,Emily Johnson,11,21.65,0.05,226.21
48,2025-11-14,Oceania,Australia,Office Supplies,Printer Paper,Kovács Anna,12,8.51,0.05,96.97
49,2024-09-26,South America,Brazil,Electronics,Headphones,Yuki Tanaka,4,83.38,0.25,250.14
50,2024-06-08,Asia,India,Electronics,Keyboard,Hans Müller,20,58.54,0.15,995.23
51,2024-05-17,Europe,Germany,Furniture,Bookshelf,Carlos García,20,158.57,0.05,3012.90
52,2025-08-28,Europe,Hungary,,Gift Card,Hans Müller,7,110.63,0.05,735.66
53,2025-02-04,Africa,Egypt,Furniture,Desk Lamp,Priya Sharma,15,43.94,0.05,626.19
54,2025-10-12,North America,Mexico,Electronics,,Szabó Éva,15,99.43,0.20,1193.19
55,2024-04-20,,Iceland,,Shipping,John Smith,6,15.80,0.30,66.37
56,2025-07-01,South America,Argentina,Electronics,Headphones,John Smith,4,96.16,0.00,384.63
57,2025-08-19,North America,Mexico,Office Supplies,Pens,Nagy Péter,6,4.27,0.25,19.20
58,2024-01-06,Africa,Egypt,Electronics,Monitor,Carlos García,6,299.05,0.20,1435.44
59,2025-01-12,Oceania,New Zealand,,Gift Card,Carlos García,6,112.27,0.25,505.20
60,2024-08-30,Africa,South Africa,Electronics,Headphones,Carlos García,,78.55,0.10,
61,2024-03-09,Europe,France,Office Supplies,Stapler,Nagy Péter,15,10.73,0.30,112.65
62,2025-04-22,Asia,India,,Extended Warranty,Szabó Éva,,72.71,0.30,
63,2025-01-11,South America,Argentina,Office Supplies,Binder,Nagy Péter,18,6.07,0.00,109.20
64,2024-10-16,Africa,South Africa,Furniture,Office Chair,Yuki Tanaka,3,253.03,,759.09
65,2025-05-05,Europe,Germany,Furniture,Office Chair,Carlos García,4,271.23,0.20,867.93
66,2025-12-03,Europe,United Kingdom,Office Supplies,Printer Paper,Hans Müller,11,7.48,0.00,82.24
67,2025-04-09,Europe,Germany,,Gift Card,Nagy Péter,7,92.75,0.15,551.87
68,2025-03-31,South America,Argentina,Software,IDE License,Marie Dubois,14,187.50,0.10,2362.47
69,2025-12-24,North America,United States,Office Supplies,Pens,Nagy Péter,2,4.58,,9.16
70,2025-11-10,North America,Canada,Furniture,Bookshelf,Hans Müller,2,204.04,0.05,387.67
71,2025-08-18,Asia,India,Electronics,Laptop,Yuki Tanaka,17,1242.49,0.05,20066.29
72,2024-01-15,South America,Brazil,Office Supplies,Binder,John Smith,18,5.40,0.25,72.93
73,2025-08-24,South America,Argentina,Furniture,Desk,Kovács Anna,4,444.30,0.00,1777.18
74,2024-11-12,Asia,South Korea,Furniture,Bookshelf,Nagy Péter,16,191.08,0.30,2140.13
75,2025-12-15,South America,Argentina,Office Supplies,Binder,John Smith,1,5.91,0.15,5.03
76,2025-06-29,Africa,,,,Hans Müller,6,216.91,0.15,1106.24
77,2024-06-09,Asia,India,Software,,Marie Dubois,20,188.35,0.30,2636.95
78,2024-08-09,Asia,China,Furniture,Desk,John Smith,13,399.32,0.00,5191.14
79,2025-06-09,Asia,India,Office Supplies,Binder,Nagy Péter,6,6.11,0.15,31.19
80,2025-09-21,Asia,South Korea,Electronics,Headphones,Nagy Péter,15,97.99,0.15,1249.42
81,2025-07-14,Asia,China,Software,Antivirus,Nagy Péter,15,46.67,0.15,595.02
82,2025-12-11,Asia,South Korea,Office Supplies,Printer Paper,Marie Dubois,2,8.01,0.15,13.62
83,2024-08-24,Asia,,,,Priya Sharma,18,275.32,0.00,4955.70
84,2025-09-16,Europe,Germany,Electronics,Mouse,Kovács Anna,2,22.43,0.10,40.37
85,2025-07-06,Asia,Japan,Electronics,Laptop,Carlos García,16,1106.67,0.15,15050.76
86,2025-09-17,South America,Argentina,Software,Office Suite,Hans Müller,5,141.79,0.25,531.71
87,2024-07-10,North America,United States,Office Supplies,Stapler,Yuki Tanaka,1,10.63,0.10,9.56
88,2024-05-19,North America,Canada,,Gift Card,Nagy Péter,10,105.02,0.00,1050.21
89,2025-05-29,North America,,,,Hans Müller,18,84.87,0.30,1069.35
90,2024-07-04,North America,United States,,Extended Warranty,Szabó Éva,4,88.27,0.20,282.47
91,2025-01-07,North America,Canada,Furniture,Office Chair,Marie Dubois,2,221.70,0.05,421.23
92,2024-01-23,North America,United States,Software,Antivirus,Carlos García,1,49.58,0.25,37.18
93,2024-11-17,North America,United States,,Gift Card,Nagy Péter,11,90.03,0.10,891.27
94,2024-04-04,Europe,Hungary,Software,IDE License,Hans Müller,6,211.70,,1270.19
95,2024-12-15,Asia,South Korea,Electronics,Laptop,Carlos García,17,1287.35,0.10,19696.45
96,2024-04-23,Asia,China,,Extended Warranty,Priya Sharma,13,79.65,0.15,880.19
97,2025-02-08,,Iceland,,Gift Card,Emily Johnson,4,92.78,0.25,278.35
98,2024-05-31,Europe,France,Software,Office Suite,Hans Müller,5,144.99,0.15,616.19
99,2024-11-04,Asia,Japan,Electronics,Laptop,Carlos García,16,1100.64,0.05,16729.76
100,2024-10-22,Asia,South Korea,Office Supplies,Printer Paper,Priya Sharma,16,9.15,0.05,139.10
101,2024-02-11,North America,Mexico,Electronics,Mouse,Yuki Tanaka,7,23.95,0.25,125.75
102,2024-10-16,Europe,Poland,Software,IDE License,John Smith,5,227.58,0.00,1137.90
103,2024-05-20,Asia,Japan,Office Supplies,Stapler,Priya Sharma,9,13.20,0.05,112.89
104,2025-06-23,Africa,Egypt,Office Supplies,Printer Paper,Marie Dubois,19,8.02,,152.47
105,2025-11-04,Oceania,Australia,Electronics,Mouse,Szabó Éva,17,22.83,0.30,271.64
106,2025-07-05,Africa,South Africa,Electronics,Laptop,Hans Müller,14,,0.10,
107,2024-02-29,South America,Argentina,Office Supplies,Pens,Kovács Anna,17,3.54,0.15,51.09
108,2025-08-01,Asia,South Korea,Electronics,Mouse,John Smith,20,23.32,0.00,466.40
109,2025-12-23,Oceania,Australia,Electronics,Keyboard,Kovács Anna,6,52.68,0.20,252.84
110,2025-09-25,Asia,Japan,Electronics,Mouse,,12,24.78,0.00,297.38
111,2025-05-01,Europe,Germany,,Gift Card,Kovács Anna,16,95.42,,1526.65
112,2025-06-14,South America,Brazil,,Shipping,Carlos García,5,15.05,0.15,63.96
113,2024-01-03,Oceania,New Zealand,Software,IDE License,,10,195.60,0.20,1564.78
114,2025-12-20,South America,Brazil,Software,Office Suite,John Smith,17,157.39,0.15,2274.23
115,2025-01-27,Asia,Japan,Furniture,Desk Lamp,Nagy Péter,4,43.08,0.00,172.31
116,2025-10-14,South America,Argentina,Furniture,Office Chair,Szabó Éva,11,213.26,0.10,2111.24
117,2025-08-16,Europe,Germany,Software,IDE License,Carlos García,9,203.63,0.05,1741.03
118,2025-12-30,Asia,India,Furniture,Desk,John Smith,7,449.66,,3147.60
119,2025-09-11,,Singapore,,Extended Warranty,Nagy Péter,6,91.03,0.00,546.21
120,2024-04-21,Asia,South Korea,Software,Office Suite,Emily Johnson,10,163.87,0.30,1147.08
121,2025-11-30,Asia,India,,Extended Warranty,Priya Sharma,20,73.19,0.00,1463.86
122,2025-06-10,Oceania,Australia,,Gift Card,Szabó Éva,2,88.71,,177.43
123,2025-05-17,North America,Mexico,Electronics,Monitor,Emily Johnson,17,327.24,0.05,5284.97
124,2024-10-16,Asia,Japan,,Shipping,Nagy Péter,3,14.68,0.30,30.82
125,2024-07-16,Asia,,,,Nagy Péter,4,515.71,0.00,2062.85
126,2025-06-27,Asia,India,Furniture,Office Chair,Hans Müller,12,271.74,0.15,2771.72
127,2025-03-16,North America,Mexico,,Gift Card,Emily Johnson,2,101.03,,202.06
128,2024-12-12,,Iceland,Electronics,Headphones,Hans Müller,11,78.74,0.30,606.32
129,2025-05-21,North America,Canada,Electronics,Headphones,Hans Müller,17,86.86,,1476.58
130,2024-03-15,South America,Brazil,Office Supplies,Binder,Priya Sharma,12,5.42,0.15,55.27
131,2025-03-16,,Iceland,Furniture,Desk,Carlos García,18,428.53,0.00,7713.45
132,2024-04-11,Europe,France,Electronics,Mouse,Nagy Péter,6,27.70,0.25,124.66
133,2025-11-30,South America,,,,Carlos García,3,309.15,0.15,788.32
134,2025-05-17,Asia,China,Furniture,Desk Lamp,Szabó Éva,4,39.95,0.25,119.86
135,2024-12-29,Asia,,,,Yuki Tanaka,19,472.43,0.10,8078.60
136,2025-10-13,Asia,South Korea,Software,Office Suite,Priya Sharma,6,141.82,0.30,595.66
137,2025-08-31,South America,Brazil,Office Supplies,,Carlos García,13,91.55,0.00,1190.14
138,2024-02-02,Asia,,,,Emily Johnson,12,125.44,0.30,1053.68
139,2025-07-06,Asia,South Korea,Software,Office Suite,,2,129.53,0.10,233.15
140,2025-03-10,North America,Mexico,Furniture,Office Chair,John Smith,18,265.29,,4775.19
141,2025-01-29,Europe,United Kingdom,Office Supplies,Stapler,Szabó Éva,15,12.44,0.10,167.88
142,2025-01-24,Asia,Japan,Electronics,Mouse,Kovács Anna,15,23.23,0.15,296.13
143,2024-07-20,North America,Mexico,Furniture,Desk,Nagy Péter,4,369.19,,1476.76
144,2025-02-24,Oceania,Australia,Software,Office Suite,Yuki Tanaka,3,150.85,0.05,429.92
145,2024-11-09,Oceania,New Zealand,Office Supplies,Printer Paper,Hans Müller,10,7.60,0.25,57.03
146,2025-08-02,,Singapore,Furniture,Bookshelf,Yuki Tanaka,,170.28,0.15,
147,2024-10-27,Asia,China,Electronics,Laptop,Szabó Éva,10,1221.37,,12213.71
148,2025-06-18,Europe,,,,Szabó Éva,4,212.30,0.30,594.44
149,2024-09-16,Asia,China,Office Supplies,Binder,Marie Dubois,3,5.40,0.05,15.38
150,2024-01-12,Asia,Japan,Furniture,Office Chair,Emily Johnson,2,245.00,0.30,343.00
151,2025-08-04,North America,Canada,Office Supplies,Pens,Nagy Péter,15,3.72,0.30,39.02
152,2025-09-12,Europe,Poland,Furniture,Bookshelf,Emily Johnson,7,153.24,0.10,965.39
153,2024-12-25,Europe,Hungary,Software,,Yuki Tanaka,12,228.12,0.15,2326.86
154,2024-02-15,,Iceland,Furniture,Bookshelf,John Smith,4,175.50,0.05,666.89
155,2025-05-11,Oceania,New Zealand,Software,,,3,121.21,0.15,309.08
156,2024-02-19,North America,,,,Nagy Péter,14,276.34,,3868.70
157,2024-07-03,Europe,France,Furniture,Desk,Nagy Péter,5,389.68,0.15,1656.16
158,2024-12-27,North America,Canada,Office Supplies,Printer Paper,John Smith,11,7.66,0.10,75.80
159,2024-07-29,Europe,France,Electronics,Keyboard,Szabó Éva,16,61.53,0.00,984.52
160,2024-07-02,Oceania,New Zealand,,Gift Card,Carlos García,11,,0.25,
161,2024-10-09,Asia,Japan,,Gift Card,Emily Johnson,12,101.27,,1215.19
162,2025-09-15,North America,Mexico,Furniture,Desk,John Smith,18,446.72,0.15,6834.75
163,2024-03-25,Europe,Poland,Electronics,Headphones,Nagy Péter,8,90.23,0.30,505.30
164,2024-04-26,Europe,United Kingdom,Office Supplies,Printer Paper,Priya Sharma,3,7.68,0.00,23.04
165,2024-06-01,Africa,Egypt,Office Supplies,Binder,Priya Sharma,7,6.73,,47.08
166,2025-04-18,Oceania,New Zealand,,Shipping,Hans Müller,2,,0.10,
167,2025-07-27,Europe,Poland,,Extended Warranty,Hans Müller,13,91.70,,1192.05
168,2025-11-29,Oceania,,,,Szabó Éva,18,319.56,0.30,4026.40
169,2024-02-19,South America,Argentina,Furniture,Desk Lamp,Nagy Péter,19,41.91,0.00,796.24
170,2024-07-21,South America,Argentina,Office Supplies,Stapler,Carlos García,2,12.42,0.20,19.87
171,2025-01-26,Asia,South Korea,Software,,Marie Dubois,2,223.46,0.30,312.84
172,2025-05-19,Oceania,Australia,Furniture,Desk Lamp,Marie Dubois,17,,,
173,2025-04-06,Oceania,New Zealand,Electronics,Laptop,Nagy Péter,7,1098.56,0.00,7689.89
174,2025-11-26,North America,Canada,Electronics,,Carlos García,5,200.02,0.05,950.10
175,2025-05-21,North America,Canada,Software,IDE License,Kovács Anna,18,189.89,,3418.07
176,2024-06-25,,Singapore,Office Supplies,Printer Paper,Hans Müller,9,7.60,0.05,65.00
177,2025-03-01,Europe,Hungary,Office Supplies,Binder,Priya Sharma,9,,0.20,
178,2025-11-12,Europe,France,,Gift Card,Hans Müller,14,113.87,0.10,1434.76
179,2025-01-16,Africa,Egypt,,Shipping,John Smith,1,15.07,,15.07
180,2024-04-23,Asia,South Korea,Furniture,Office Chair,Carlos García,1,234.58,0.20,187.66
181,2024-12-20,South America,Brazil,Furniture,Office Chair,Szabó Éva,15,255.75,0.25,2877.16
182,2025-06-09,Africa,Egypt,Office Supplies,Binder,Emily Johnson,6,6.37,0.10,34.41
183,2025-12-04,North America,United States,,Shipping,John Smith,10,12.95,0.30,90.62
184,2024-10-21,Oceania,New Zealand,Electronics,Monitor,Carlos García,19,,0.05,
185,2024-12-10,Europe,Germany,Electronics,Headphones,John Smith,2,86.83,0.30,121.56
186,2025-02-17,,Iceland,Electronics,Laptop,Marie Dubois,15,1226.49,,18397.35
187,2024-10-03,Africa,Egypt,Software,Antivirus,Szabó Éva,15,46.99,0.20,563.88
188,2025-08-08,Oceania,New Zealand,,Gift Card,Emily Johnson,15,110.59,,1658.86
189,2024-09-05,Asia,South Korea,Software,Antivirus,Emily Johnson,5,50.04,0.05,237.69
190,2024-02-06,South America,Brazil,Office Supplies,Pens,John Smith,3,3.63,0.05,10.34
191,2025-03-01,Africa,Egypt,Office Supplies,Printer Paper,Nagy Péter,15,8.40,0.05,119.71
192,2025-11-26,Europe,Germany,Electronics,Headphones,Priya Sharma,19,87.09,0.20,1323.69
193,2024-01-01,Europe,Hungary,Electronics,Headphones,Hans Müller,14,83.73,0.00,1172.27
194,2025-07-09,,Iceland,,Gift Card,Yuki Tanaka,3,86.67,,260.00
195,2024-10-27,Asia,South Korea,Electronics,Headphones,Marie Dubois,18,103.49,0.15,1583.38
196,2024-07-23,Africa,Egypt,Electronics,Keyboard,Nagy Péter,19,62.82,0.25,895.15
197,2025-10-08,Asia,China,,Gift Card,Hans Müller,16,109.45,0.30,1225.89
198,2025-09-07,Africa,South Africa,Electronics,Mouse,Kovács Anna,2,25.61,0.00,51.22
199,2024-12-25,South America,Argentina,Furniture,Desk Lamp,Marie Dubois,19,41.62,0.15,672.15
200,2024-03-05,,Singapore,,Shipping,Carlos García,3,13.89,0.30,29.17
201,2024-11-02,North America,,,,Kovács Anna,,228.47,0.00,
202,2024-04-01,Asia,China,Office Supplies,Stapler,Carlos García,3,11.42,0.25,25.70
203,2024-11-23,Europe,France,Office Supplies,Stapler,Emily Johnson,11,13.79,0.25,113.80
204,2025-05-16,Oceania,Australia,Software,Office Suite,Nagy Péter,9,140.82,0.10,1140.68
205,2024-06-24,North America,Canada,Software,IDE License,Emily Johnson,18,223.24,0.00,4018.33
206,2024-03-02,Europe,United Kingdom,Office Supplies,Printer Paper,Kovács Anna,4,7.27,0.20,23.25
207,2025-07-28,Europe,Hungary,Electronics,Mouse,Carlos García,,26.33,0.00,
208,2024-07-13,Europe,Poland,Furniture,Office Chair,Carlos García,11,276.74,0.05,2891.93
209,2025-02-14,South America,Brazil,,Gift Card,Marie Dubois,19,92.88,0.15,1499.94
210,2024-11-03,Europe,Hungary,Electronics,Keyboard,Emily Johnson,,57.99,0.15,
211,2024-02-15,Europe,Germany,Electronics,Mouse,Priya Sharma,15,22.88,0.25,257.42
212,2025-09-25,Europe,Poland,,Gift Card,Yuki Tanaka,14,96.23,0.00,1347.26
213,2025-03-13,North America,Canada,Electronics,Mouse,Carlos García,15,23.88,0.10,322.44
214,2025-07-21,South America,,,,Hans Müller,11,256.72,0.20,2259.11
215,2024-02-03,North America,Canada,Office Supplies,Pens,Szabó Éva,5,3.86,0.00,19.31
216,2025-01-19,North America,United States,Software,IDE License,Carlos García,2,210.77,0.20,337.23
217,2024-09-22,Europe,Germany,,Shipping,Yuki Tanaka,1,17.11,0.20,13.69
218,2024-07-17,South America,Brazil,Software,Antivirus,Hans Müller,14,43.62,0.20,488.54
219,2024-10-12,,Iceland,Software,Office Suite,Nagy Péter,3,,0.15,
220,2025-04-12,Oceania,Australia,Furniture,Office Chair,Priya Sharma,19,282.68,0.25,4028.26
221,2024-01-07,South America,Brazil,,Shipping,Priya Sharma,8,16.23,0.05,123.38
222,2025-03-20,North America,,,,Szabó Éva,9,534.46,0.20,3848.11
223,2024-06-18,,Singapore,Furniture,Bookshelf,Emily Johnson,15,153.50,0.15,1957.13
224,2025-12-09,South America,Brazil,Furniture,Bookshelf,Szabó Éva,3,192.86,,578.57
225,2024-10-18,Europe,Poland,Office Supplies,Stapler,Marie Dubois,3,12.17,0.25,27.38
226,2024-09-11,South America,Brazil,,Gift Card,Kovács Anna,17,85.29,0.00,1449.99
227,2024-10-20,Europe,United Kingdom,Office Supplies,Stapler,Nagy Péter,9,10.65,0.20,76.68
228,2024-02-25,North America,United States,,Extended Warranty,Hans Müller,17,72.21,0.00,1227.57
229,2025-03-05,North America,Canada,Office Supplies,Binder,Szabó Éva,13,6.68,,86.89
230,2024-08-30,North America,United States,Furniture,Office Chair,Szabó Éva,18,228.78,0.30,2882.59
231,2024-09-21,Europe,France,Electronics,Laptop,Emily Johnson,11,1276.87,0.05,13343.25
232,2024-02-25,Africa,Egypt,Software,Antivirus,Priya Sharma,5,52.84,0.30,184.96
233,2024-02-26,Europe,Hungary,Furniture,Desk Lamp,Emily Johnson,6,45.14,0.15,230.21
234,2025-02-28,Oceania,Australia,Electronics,Mouse,John Smith,15,24.93,0.15,317.85
235,2024-02-01,Asia,Japan,Software,Office Suite,Nagy Péter,17,158.64,0.00,2696.83
236,2025-07-03,North America,United States,Electronics,Laptop,John Smith,5,1036.41,0.25,3886.54
237,2025-06-24,Asia,South Korea,Electronics,Mouse,Kovács Anna,4,27.73,0.10,99.82
238,2025-10-23,Europe,,,,Kovács Anna,12,165.02,0.20,1584.17
239,2024-05-26,North America,Canada,Furniture,Desk,Nagy Péter,20,391.06,0.30,5474.84
240,2024-04-08,South America,Argentina,Software,IDE License,Priya Sharma,4,191.29,0.10,688.64
241,2025-05-03,Asia,China,Software,Antivirus,Priya Sharma,,47.65,,
242,2024-02-27,Europe,France,,Shipping,Emily Johnson,20,14.59,0.30,204.26
243,2025-06-25,Africa,Egypt,Furniture,Desk,Priya Sharma,4,445.33,0.20,1425.05
244,2025-09-22,Europe,United Kingdom,Electronics,Keyboard,Carlos García,,66.18,0.30,
245,2024-01-15,Europe,France,Electronics,Laptop,Hans Müller,20,1320.77,0.25,19811.61
246,2024-04-21,Europe,Poland,Office Supplies,Binder,Marie Dubois,11,6.62,0.25,54.58
247,2024-02-13,North America,United States,Electronics,Monitor,John Smith,5,298.27,0.05,1416.76
248,2025-11-22,Oceania,New Zealand,,Gift Card,Szabó Éva,16,90.33,0.10,1300.72
249,2025-11-04,South America,Argentina,Electronics,Headphones,Hans Müller,12,88.67,0.05,1010.88
250,2025-07-05,Europe,United Kingdom,Electronics,Laptop,Emily Johnson,,1056.17,0.10,
251,2025-04-26,North America,Canada,Furniture,Bookshelf,Yuki Tanaka,5,179.53,0.10,807.90
252,2025-03-25,,Iceland,Furniture,Bookshelf,Kovács Anna,4,201.22,0.25,603.66
253,2024-07-21,Asia,South Korea,Software,IDE License,John Smith,7,178.53,0.10,1124.76
254,2025-10-12,,Singapore,,Extended Warranty,Marie Dubois,10,77.57,,775.72
255,2025-10-23,Europe,France,Electronics,Keyboard,Priya Sharma,1,67.72,,67.72
256,2024-04-18,Europe,United Kingdom,Electronics,Monitor,Marie Dubois,19,343.90,0.15,5553.96
257,2025-03-20,Europe,Hungary,Office Supplies,Stapler,,12,11.22,0.30,94.22
258,2024-10-06,Oceania,New Zealand,Office Supplies,Pens,Kovács Anna,9,3.57,0.30,22.51
259,2025-06-03,Asia,South Korea,Office Supplies,Printer Paper,Carlos García,19,7.33,0.15,118.44
260,2025-09-19,Asia,India,Office Supplies,Stapler,Yuki Tanaka,5,12.14,0.05,57.68
261,2025-05-23,Africa,South Africa,Software,Office Suite,Szabó Éva,19,169.88,0.05,3066.40
262,2025-04-24,North America,Mexico,Electronics,Mouse,Hans Müller,20,22.86,0.05,434.28
263,2024-01-26,Europe,Poland,Furniture,Desk,Hans Müller,20,404.03,0.10,7272.52
264,2025-08-10,Asia,South Korea,Furniture,Office Chair,Marie Dubois,14,234.98,0.20,2631.78
265,2024-03-16,Europe,Germany,Furniture,Office Chair,Nagy Péter,11,286.37,0.25,2362.56
266,2025-12-25,Oceania,Australia,Furniture,Desk,John Smith,3,358.84,0.05,1022.68
267,2024-12-09,South America,,,,Szabó Éva,15,265.25,,3978.76
268,2024-06-04,Europe,Hungary,Electronics,Mouse,Yuki Tanaka,5,24.46,,122.32
269,2025-04-05,North America,Canada,,Extended Warranty,Carlos García,17,80.20,0.30,954.33
270,2025-02-27,Oceania,New Zealand,Software,Office Suite,Kovács Anna,1,132.24,,132.24
271,2024-08-25,Asia,India,Furniture,,Nagy Péter,3,132.79,0.10,358.52
272,2025-12-26,Africa,South Africa,Software,Antivirus,Kovács Anna,1,52.14,0.20,41.71
273,2025-09-21,Oceania,New Zealand,Office Supplies,Pens,Hans Müller,5,3.97,0.15,16.87
274,2024-03-15,South America,Argentina,Software,Antivirus,Emily Johnson,2,50.04,0.00,100.09
275,2025-06-03,Europe,United Kingdom,Software,Office Suite,Marie Dubois,18,130.94,0.15,2003.36
276,2024-05-07,Africa,Egypt,Office Supplies,Binder,Carlos García,13,6.47,0.00,84.14
277,2025-01-04,Europe,Poland,Office Supplies,Printer Paper,Priya Sharma,8,8.61,0.10,61.96
278,2025-12-25,Europe,France,Office Supplies,Printer Paper,Carlos García,20,7.04,0.15,119.66
279,2025-02-26,Europe,Germany,Software,Antivirus,Hans Müller,8,50.29,0.00,402.32
280,2024-09-01,Europe,France,Office Supplies,Binder,John Smith,14,6.57,0.30,64.41
281,2024-09-19,Africa,Egypt,,Shipping,Priya Sharma,13,15.81,0.20,164.37
282,2025-01-12,Europe,Germany,Office Supplies,Printer Paper,Szabó Éva,19,9.09,,172.67
283,2025-12-28,Asia,China,Office Supplies,Pens,Kovács Anna,18,3.57,0.10,57.77
284,2025-09-30,Asia,Japan,Furniture,Desk Lamp,Emily Johnson,11,41.80,0.20,367.82
285,2025-08-10,Europe,Poland,Office Supplies,Printer Paper,John Smith,18,7.05,0.10,114.27
286,2024-06-28,,Iceland,Electronics,Keyboard,Yuki Tanaka,5,61.75,,308.73
287,2025-10-18,North America,Mexico,Furniture,Office Chair,Szabó Éva,14,233.35,0.05,3103.56
288,2025-07-09,North America,Canada,Electronics,Monitor,Nagy Péter,12,337.19,0.25,3034.68
289,2025-07-27,Oceania,New Zealand,Electronics,Laptop,Emily Johnson,3,1076.88,0.15,2746.03
290,2025-04-06,,Iceland,Electronics,Monitor,Hans Müller,,297.86,0.05,
291,2024-04-15,Europe,France,Furniture,Bookshelf,Carlos García,10,180.53,0.25,1353.96
292,2024-12-12,Europe,Hungary,Electronics,Keyboard,Hans Müller,1,57.53,0.30,40.27
293,2024-04-11,Asia,India,Office Supplies,Pens,Nagy Péter,8,4.54,0.15,30.90
294,2025-01-17,Africa,South Africa,Electronics,Laptop,Nagy Péter,18,1252.07,,22537.18
